Sample	Mash_Screen	Curation	MarkerScan	read_VAE
ilAbrTrip1	None	None	None	None
ilAclEmar1	None	None	None	None
ilAclSpar1	None	None	Trypanosomatidae	Leptomonas
ilAcrAcer1	Enterococcus	Apibacter, proteobacteria	Orbaceae	Gilliamella apicola; Brenneria; Tatumella; Enterococcus; Apibacter
ilAcrCons1	None		None	None
ilAcrRepa1	Erwinia		None	Erwinia
ilAglUrti1	None	None	None	None
ilAgoAren1	Hafnia	None	None	Rahnella
ilAgoHera1	None		None	None
ilAgoSubp1	Enterococcus	None	None	Erwinia; Epichloe; Enterococcus
ilAgrAura1	None	None	None	None
ilAgrCirc1	None	None	None	None
ilAgrGeni1	Wolbachia, microbacterium, Pantoea, Curtobacterium, Pseudomonas, Erwinia	Actinomycetia, Alphaproteobacteria, Caudoviricetes, Corynebacteriales, Enterobacterales, Gammaproteobacteria, Magnoliopsida, Micrococcales, Micromonosporales, Pseudomonadales, Rickettsiales, Streptomycetales	Microbacteriaceae, Erwiniaceae, Mermithidae	Wolbachia; Pantoea; Microbacterium; Curtobacterium; Pseudomonas; Erwinia; Lysobacter
ilAgrMaci1	None	None	None	None
ilAgrStra1	Wolbachia		Anaplasmataceae	Wolbachia; Nocardioides; Micromonospora
ilAgrTris1	Wolbachia	Myoviridae	Anaplasmataceae	Wolbachia; Pseudomonas; Variovorax
ilAllOxya1	None	None	None	None
ilAmpBerb1	Enterococcus,lactococcus	Enterococcus, Streptococcus	None	Rahnella; Enterococcus; Lactococcus
ilAmpTrag2	None	None	None	None
ilAntCard3	None	None	None	None
ilApaIris1	Wigglesworthia		None	Nocardioides
ilApaMono1	Enterococcus, Pantoea	Enterobacterales, Glomerellales, Helotiales, Hypocreales, Kinetoplastida, Sordariales, Xylariales, Claviceps purpurea, Ascomycota, Euglenozoa, Nudiviridae	Hypocreales	Epichloe; Leptomonas; Chondromyces; Nocardioides; Mycolicibacterium; Pantoea; Enterococcus; Serratia
ilApeSyri1	Wolbachia	Spiroplasmataceae, Polydnaviridae	Spiroplasmataceae	Spiroplasmataceae;  Firmicutes; Wolbachia
ilAplEffo1	None	None		None
ilApoBetu1	Wolbachia, Rahnella	Proteobacteria,Betaproteobacteria,Gammaproteobacteria,Alphaproteobacteria	Anaplasmataceae, Acetobacteraceae	Wolbachia; Rahnella; Klebsiella
ilApoCrat1	Wolbachia	Wolbachia	Anaplasmataceae	Wolbachia
ilApoLuen1	None	None	None	None
ilApoTurb1	Wolbachia	Wolbachia	Anaplasmataceae	Wolbachia
ilArcPodn1	Wolbachia		Anaplasmataceae	Wolbachia
ilArcXylo1	Enterococcus, Rahnella		Yersiniaceae	Rahnella; Enterococcus
ilArgGoed1	None		Erwiniaceae	None
ilAriAges1	Wolbachia, Saccharibacter floricola	 Cedecea neteri, Wolbachia, Gluconobacter, Adelina	Anaplasmataceae, Acetobacteraceae, Enterobacteraceae, Adeleorina	Wolbachia; Gluconobacter; Enterobacter; Methanosphaera; Parasaccharibacter apium; Cyclospora
ilAriAges2	None	None		None
ilAteCent1	None	None	None	None
ilAutGamm1	Wolbachia	Wolbachia	Anaplasmataceae	Wolbachia
ilAutPulc1	None	None	None	None
ilBemIchn1	None	None	None	None
ilBisBetu1	None	None	None	Leptothrix
ilBlaAdus2	Enterococcus	Ascomycota, Acetobacteraceae, Firmicutes	Saccharomycetales, Acetobacteraceae	Enterococcus; Fungi; Parasaccharibacter, Ralstonia; Candida
ilBlaLact1	None	Erwinia, Nosema	Erwiniaceae, Nosematidae	Nosema; Erwinia
ilBolSele5	None	None	None	None
ilCalPalu1	Wolbachia	Alphaproteobacteria	Anaplasmataceae	Wolbachia
ilCamBiln1	Wolbachia, Enterococcus, Erwinia		Anaplasmataceae,Erwiniaceae	Wolbachia; Erwinia; Botrytis; Mycolicibacterium; Enterococcus
